dim1,dim2,value,winning_bid
11.0,14.0,700.0,1000
15.0,15.0,70.0,45
11.0,14.0,1650.0,975
8.0,11.0,340.0,396
16.0,20.0,320.0,100
9.0,12.0,518.0,325
12.0,12.0,450.0,150
6.0,6.0,400.0,158
8.0,12.0,700.0,200
16.0,12.0,1000.0,600
8.0,16.0,500.0,835
8.0,10.0,120.0,70
11.0,14.0,1200.0,450
12.0,12.0,600.0,200
8.0,6.0,200.0,400
20.0,20.0,1000.0,410
12.0,9.0,135.0,160
18.0,24.0,1950.0,950
11.0,14.0,500.0,750
11.0,14.0,400.0,605
12.0,16.0,1600.0,2050
8.0,10.0,250.0,150
11.0,14.0,1600.0,876
12.0,16.0,700.0,325
9.0,12.0,950.0,1052
12.0,16.0,1400.0,400
8.0,10.0,400.0,450
18.0,24.0,350.0,100
20.0,24.0,3500.0,1550
12.0,24.0,2000.0,2400
16.0,20.0,300.0,400
10.0,10.0,650.0,325
16.0,16.0,500.0,360
12.0,16.0,1900.0,1400
8.0,10.0,800.0,450
13.0,17.0,2600.0,2200
9.0,12.0,675.0,400
18.0,22.0,500.0,100
21.5,18.0,1495.0,515
6.0,6.0,100.0,130
12.0,9.0,250.0,200
18.0,24.0,1100.0,300
9.0,12.0,1400.0,755
11.0,14.0,250.0,170
5.5,8.0,375.0,100
12.0,16.0,1800.0,975
11.0,14.0,2100.0,525
12.0,16.0,4300.0,1100
14.0,11.0,300.0,200
9.0,12.0,800.0,556
24.0,30.0,1200.0,950
17.75,17.75,1700.0,730
8.0,6.0,450.0,450
9.0,12.0,300.0,200
12.0,9.0,650.0,425
6.0,12.0,495.0,625
9.0,12.0,150.0,70
8.0,10.0,900.0,600
11.0,14.0,1400.0,900
12.0,24.0,1600.0,425
14.0,18.0,1500.0,325
4.0,12.0,400.0,480
36.0,48.0,3200.0,1250
11.0,14.0,2500.0,2550
8.0,10.0,150.0,75
28.0,24.0,800.0,250
9.0,12.0,1400.0,950
16.0,12.0,1550.0,1860
10.0,14.0,250.0,110
10.0,10.0,900.0,525
11.0,14.0,750.0,375
14.0,11.0,300.0,250
12.0,16.0,700.0,350
4.0,8.0,250.0,165
10.0,12.0,800.0,350
11.0,14.0,800.0,400
9.0,12.0,495.0,100
11.0,14.0,800.0,300
20.0,16.0,450.0,175
12.0,12.0,700.0,575
9.0,12.0,882.0,200
9.0,12.0,450.0,180
12.0,12.0,750.0,900
16.0,20.0,3650.0,4380
12.0,12.0,540.0,275
14.5,16.5,300.0,360
12.0,12.0,625.0,290
16.0,20.0,400.0,305
8.0,10.0,400.0,340
8.0,10.0,200.0,110
16.0,12.0,650.0,200
8.0,8.0,500.0,275
12.0,12.0,400.0,450
5.0,7.0,225.0,110
6.0,6.0,150.0,100
8.0,10.0,400.0,375
12.0,16.0,1200.0,450
9.0,12.0,200.0,240
12.0,16.0,825.0,450
8.0,10.0,200.0,225
20.0,30.0,3500.0,700
9.0,12.0,925.0,375
12.0,12.0,500.0,300
8.0,10.0,600.0,330
8.0,10.0,200.0,175
16.0,12.0,1600.0,325
8.0,10.0,250.0,230
20.0,20.0,400.0,185
11.0,14.0,200.0,100
22.0,18.0,525.0,180
16.0,12.0,695.0,477
8.0,10.0,210.0,125
6.0,8.0,200.0,140
8.0,10.0,1500.0,250
12.0,12.0,800.0,170
12.0,16.0,450.0,250
6.0,6.0,300.0,375
14.0,18.0,3250.0,4000
11.0,14.0,600.0,300
9.0,12.0,975.0,1050
8.0,12.0,600.0,425
9.0,12.0,1025.0,805
24.0,36.0,350.0,150
20.0,16.0,2800.0,900
9.0,12.0,450.0,225
11.0,14.0,450.0,225
16.0,20.0,2000.0,650
18.0,24.0,2500.0,1000
20.0,16.0,2200.0,500
12.0,16.0,395.0,100
6.0,6.0,495.0,400
10.0,8.0,150.0,125
30.0,40.0,8400.0,1500
20.5,30.0,4500.0,1500
6.0,8.0,120.0,110
8.0,8.0,400.0,402
9.0,12.0,2400.0,1400
32.0,39.0,3000.0,500
9.0,12.0,750.0,150
8.0,10.0,280.0,100
12.0,6.0,995.0,250
12.0,16.0,1600.0,625
30.0,24.0,900.0,500
16.0,20.0,4200.0,1800
8.0,10.0,350.0,300
6.0,6.0,350.0,125
9.0,12.0,1080.0,125
9.0,12.0,2200.0,1200
9.0,12.0,575.0,200
11.0,14.0,650.0,200
5.0,7.0,200.0,160
18.0,24.0,2500.0,775
16.0,20.0,1100.0,575
11.0,14.0,750.0,500
9.0,12.0,800.0,500
16.0,20.0,250.0,100
10.0,8.0,750.0,375
48.0,48.0,4500.0,500
16.0,12.0,900.0,325
6.0,12.0,350.0,255
12.0,16.0,175.0,252
14.0,18.0,997.0,1050
8.0,10.0,525.0,364
8.0,10.0,375.0,300
16.0,20.0,1950.0,1300
11.0,14.0,500.0,325
8.0,10.0,450.0,250
18.0,24.0,3400.0,1900
6.0,12.0,550.0,450
12.0,16.0,3000.0,3609
11.0,14.0,550.0,120
49.0,30.0,500.0,400
16.0,20.0,250.0,526
10.0,8.0,795.0,300
9.0,12.0,500.0,600
8.0,8.0,895.0,575
16.0,20.0,185.0,100
6.0,12.0,600.0,800
9.0,12.0,1200.0,750
11.0,14.0,750.0,350
12.0,12.0,850.0,900
8.0,16.0,800.0,375
9.0,12.0,518.0,280
20.0,16.0,475.0,275
40.0,30.0,1295.0,750
9.0,12.0,518.0,275
8.0,10.0,500.0,200
28.0,22.0,595.0,150
16.0,20.0,290.0,100
36.0,36.0,2800.0,1300
10.0,8.0,400.0,325
16.0,20.0,2400.0,1000
12.0,12.0,500.0,325
12.0,9.0,1200.0,500
16.0,20.0,3000.0,2500
9.0,12.0,600.0,150
12.0,24.0,850.0,425
8.0,10.0,500.0,300
20.0,24.0,1250.0,650
9.0,12.0,1050.0,850
72.0,24.0,2488.0,1001
8.0,10.0,600.0,300
8.0,10.0,270.0,195
12.0,16.0,175.0,190
10.0,12.0,1800.0,1000
11.0,8.0,200.0,110
8.0,8.0,220.0,165
11.0,14.0,900.0,120
8.0,8.0,250.0,111
12.0,16.0,2800.0,2700
5.0,7.0,250.0,160
8.0,10.0,450.0,200
9.0,12.0,150.0,800
8.0,10.0,300.0,150
10.0,10.0,1045.0,665
8.0,10.0,150.0,191
11.0,14.0,1150.0,700
8.0,8.0,750.0,400
8.0,10.0,1200.0,1500
12.0,9.0,350.0,175
8.0,10.0,1800.0,1100
12.0,16.0,850.0,410
12.0,16.0,600.0,200
9.0,12.0,300.0,275
6.0,8.0,650.0,325
11.0,14.0,750.0,400
8.0,10.0,50.0,50
8.0,10.0,500.0,426
12.0,16.0,1400.0,750
7.0,12.0,750.0,950
18.0,24.0,3500.0,1050
11.0,14.0,900.0,800
7.0,5.0,200.0,100
24.0,12.0,2800.0,500
16.0,20.0,200.0,304
20.0,28.0,4400.0,2150
8.0,10.0,400.0,300
12.0,9.0,1700.0,750
8.0,10.0,1250.0,750
16.0,20.0,320.0,509
24.0,24.0,2400.0,500
70.5,19.0,2700.0,1650
12.0,16.0,1400.0,400
8.0,10.0,300.0,125
8.0,10.0,420.0,150
24.0,30.0,3600.0,1225
9.0,12.0,800.0,200
14.0,11.0,300.0,150
11.0,14.0,1800.0,760
18.0,24.0,2100.0,400
12.0,12.0,900.0,200
30.0,40.0,1500.0,375
8.0,10.0,1125.0,500
9.0,12.0,1200.0,500
11.0,14.0,850.0,250
8.0,8.0,500.0,325
8.0,8.0,2700.0,1200
8.0,8.0,250.0,180
6.0,6.0,195.0,100
12.0,12.0,500.0,300
12.0,16.0,3000.0,2100
8.0,10.0,400.0,70
18.0,24.0,850.0,626
10.0,10.0,675.0,325
4.0,6.0,1000.0,880
24.0,36.0,1100.0,450
12.0,16.0,900.0,652
8.0,10.0,600.0,450
10.0,8.0,400.0,150
9.0,12.0,1200.0,850
9.0,12.0,1600.0,805
24.0,36.0,1750.0,500
6.0,6.0,399.0,275
10.0,14.0,3200.0,2551
16.0,12.0,1100.0,510
6.0,3.0,200.0,100
14.0,10.0,2500.0,1101
8.0,8.0,200.0,200
12.0,12.0,1500.0,1650
10.0,12.0,2100.0,950
12.0,9.0,1000.0,400
12.0,16.0,5200.0,3500
6.0,6.0,300.0,300
14.0,18.0,1100.0,805
8.0,10.0,700.0,605
8.0,10.0,350.0,250
12.0,12.0,875.0,425
9.0,12.0,1050.0,725
8.0,10.0,175.0,225
12.0,16.0,1550.0,1250
11.0,14.0,750.0,250
8.0,10.0,140.0,255
9.0,12.0,1800.0,705
20.0,16.0,450.0,600
8.0,9.0,325.0,100
10.0,8.0,350.0,170
9.0,12.0,600.0,350
7.0,10.0,2700.0,1700
11.0,14.0,1400.0,1680
6.0,8.0,600.0,505
8.0,10.0,1400.0,400
18.0,24.0,2700.0,600
16.0,20.0,295.0,275
11.0,8.0,525.0,750
8.0,6.0,550.0,265
6.0,6.0,250.0,100
9.0,12.0,700.0,595
4.0,6.0,100.0,120
6.0,8.0,300.0,600
14.0,11.0,300.0,200
12.0,9.0,1450.0,1250
16.0,20.0,1100.0,225
9.0,12.0,600.0,170
16.0,20.0,450.0,1600
11.0,15.0,5000.0,1209
9.0,12.0,1000.0,850
6.0,6.0,195.0,225
18.0,18.0,650.0,250
20.0,24.0,895.0,325
9.0,11.0,300.0,185
8.0,6.0,450.0,160
16.0,20.0,825.0,400
24.0,21.5,5750.0,2249
9.0,12.0,400.0,225
16.0,13.0,495.0,235
5.0,7.0,395.0,300
8.0,10.0,250.0,200
11.0,14.0,600.0,604
11.0,14.0,985.0,475
8.5,11.0,200.0,100
20.0,16.0,1000.0,250
20.0,16.0,1400.0,500
11.0,14.0,325.0,100
12.0,12.0,400.0,160
5.0,7.0,500.0,256
9.0,12.0,900.0,500
16.0,20.0,1500.0,500
4.5,8.5,400.0,480
11.0,14.0,850.0,350
16.0,16.0,650.0,350
10.0,8.0,800.0,709
24.0,24.0,2000.0,525
11.0,14.0,875.0,975
8.0,6.0,950.0,250
11.0,14.0,1600.0,975
12.0,16.0,1300.0,653
12.0,16.0,3200.0,3900
12.0,16.0,450.0,250
8.0,10.0,750.0,150
10.0,8.0,1100.0,2100
12.0,12.0,500.0,360
16.0,12.0,350.0,400
10.0,13.0,450.0,100
14.0,20.0,550.0,225
16.0,24.0,950.0,350
11.0,14.0,750.0,300
24.0,18.0,400.0,100
12.0,9.0,200.0,50
20.0,13.0,1350.0,976
11.0,14.0,1650.0,790
11.0,14.0,1400.0,800
9.0,12.0,220.0,325
16.0,16.0,2600.0,3249
8.0,8.0,400.0,200
11.0,14.0,2000.0,1650
16.0,12.0,180.0,185
12.0,10.0,400.0,480
20.0,20.0,850.0,150
11.0,14.0,400.0,480
18.0,24.0,690.0,350
18.0,24.0,3850.0,1100
12.0,9.0,850.0,200
8.0,10.0,275.0,100
5.0,7.0,200.0,160
9.0,12.0,1600.0,1500
24.0,36.0,6500.0,1150
8.0,8.0,650.0,700
8.0,10.0,375.0,200
12.0,9.0,850.0,525
4.0,4.0,300.0,355
10.0,14.0,1200.0,1440
15.0,13.0,1000.0,225
10.0,14.0,600.0,200
11.0,14.0,750.0,200
11.0,14.0,850.0,450
20.0,24.0,650.0,200
12.0,24.0,900.0,250
14.0,17.0,500.0,110
5.0,7.0,1600.0,1150
16.0,12.0,1550.0,325
12.0,9.0,1080.0,285
6.0,6.0,495.0,450
9.0,12.0,450.0,145
12.0,16.0,785.0,325
14.0,11.0,854.0,650
8.0,10.0,300.0,350
12.0,16.0,2500.0,500
9.0,12.0,650.0,675
20.0,16.0,800.0,400
12.0,12.0,1100.0,1200
24.5,20.5,800.0,200
18.0,24.0,1800.0,300
8.0,8.0,300.0,435
12.0,16.0,800.0,500
6.0,6.0,120.0,200
11.0,14.0,750.0,500
8.0,10.0,500.0,100
12.0,12.0,400.0,1550
10.0,8.0,550.0,120
12.0,12.0,225.0,110
8.0,10.0,275.0,125
9.0,12.0,1400.0,600
29.5,37.0,1500.0,1000
12.0,12.0,235.0,282
5.0,7.0,375.0,275
9.0,12.0,800.0,450
6.0,9.0,425.0,425
11.0,14.0,800.0,200
11.0,14.0,725.0,250
18.0,24.0,2100.0,1500
8.5,9.0,1000.0,1265
11.0,14.0,600.0,125
8.0,10.0,550.0,1700
9.0,12.0,518.0,300
40.0,30.0,7500.0,1500
9.0,12.0,350.0,100
